Date;Closing price
2001-01-15;1086.52
2001-01-16;1058.33
2001-01-17;1100.11
2001-01-18;1109.98
2001-01-19;1106.41
2001-01-22;1099.38
2001-01-23;1081.61
2001-01-24;1098.65
2001-01-25;1120.95
2001-01-26;1073.34
2001-01-29;1080
2001-01-30;1092.11
2001-01-31;1112.58
2001-02-01;1098.44
2001-02-02;1085.2
2001-02-05;1066.84
2001-02-06;1078.35
2001-02-07;1059.95
2001-02-08;1048.35
2001-02-09;1015.73
2001-02-12;1024.3
2001-02-13;1022.61
2001-02-14;989.86
2001-02-15;1022.5
2001-02-16;990.4
2001-02-19;993.7
2001-02-20;987.22
2001-02-21;981.01
2001-02-22;963.05
2001-02-23;942.01
2001-02-26;968.42
2001-02-27;979.82
2001-02-28;975.65
2001-03-01;945.05
2001-03-02;973.57
2001-03-05;981.96
2001-03-06;1008.49
2001-03-07;1009
2001-03-08;989.13
2001-03-09;971.14
2001-03-12;903.67
2001-03-13;902.51
2001-03-14;877.14
2001-03-15;896.76
2001-03-16;869.92
2001-03-19;862.04
2001-03-20;883.21
2001-03-21;853.95
2001-03-22;825.29
2001-03-23;843.3
2001-03-26;882.83
2001-03-27;906.51
2001-03-28;863.12
2001-03-29;842.99
2001-03-30;831.77
2001-04-02;811.76
2001-04-03;790.71
2001-04-04;803.23
2001-04-05;848.06
2001-04-06;825.13
2001-04-09;856.15
2001-04-10;881.87
2001-04-11;870.79
2001-04-12;851.41
2001-04-17;849.67
2001-04-18;899.81
2001-04-19;922.9
2001-04-20;888.21
2001-04-23;867.23
2001-04-24;873.34
2001-04-25;881.85
2001-04-26;890.15
2001-04-27;910.58
2001-04-30;934.49
2001-05-02;934.56
2001-05-03;907.71
2001-05-04;925.11
2001-05-07;932.66
2001-05-08;918.73
2001-05-09;909.85
2001-05-10;919.99
2001-05-11;915.3
2001-05-14;904.9
2001-05-15;902.28
2001-05-16;910.54
2001-05-17;933.01
2001-05-18;944.96
2001-05-21;970.59
2001-05-22;974.7
2001-05-23;959.43
2001-05-25;956.06
2001-05-28;954.81
2001-05-29;941.91
2001-05-30;922.6
2001-05-31;926.68
2001-06-01;917.07
2001-06-05;944.46
2001-06-06;932.86
2001-06-07;920.74
2001-06-08;907.7
2001-06-11;894.02
2001-06-12;877.64
2001-06-13;876.85
2001-06-14;855.87
2001-06-15;866.96
2001-06-18;851.79
2001-06-19;850.67
2001-06-20;839.76
2001-06-21;845.34
2001-06-25;849.77
2001-06-26;845.13
2001-06-27;849.83
2001-06-28;876.58
2001-06-29;879.73
2001-07-02;896.75
2001-07-03;889.79
2001-07-04;873.04
2001-07-05;853.13
2001-07-06;823.02
2001-07-09;821.93
2001-07-10;819.75
2001-07-11;814.03
2001-07-12;832.25
2001-07-13;841.92
2001-07-16;834.76
2001-07-17;826.6
2001-07-18;813.82
2001-07-19;834.2
2001-07-20;828.56
2001-07-23;825.14
2001-07-24;811.51
2001-07-25;798.82
2001-07-26;811.63
2001-07-27;837.1
2001-07-30;854.49
2001-07-31;868.86
2001-08-01;868.01
2001-08-02;866.41
2001-08-03;854.42
2001-08-06;855.41
2001-08-07;858.19
2001-08-08;843.62
2001-08-09;825.07
2001-08-10;816.1
2001-08-13;819.26
2001-08-14;835.44
2001-08-15;828.24
2001-08-16;813.56
2001-08-17;799.65
2001-08-20;791.67
2001-08-21;807.76
2001-08-22;815.4
2001-08-23;822.98
2001-08-24;839.7
2001-08-27;836.98
2001-08-28;826.85
2001-08-29;820.16
2001-08-30;797.95
2001-08-31;793.64
2001-09-03;788.1
2001-09-04;784.24
2001-09-05;760.81
2001-09-06;750.08
2001-09-07;734.54
2001-09-10;733.1
2001-09-11;673.18
2001-09-12;710.09
2001-09-13;718.99
2001-09-14;695.52
2001-09-17;708.92
2001-09-18;695.92
2001-09-19;683.78
2001-09-20;659.17
2001-09-21;653.62
2001-09-24;689.4
2001-09-25;695.18
2001-09-26;680.77
2001-09-27;684.92
2001-09-28;703.22
2001-10-01;693.34
2001-10-02;695.75
2001-10-03;710.3
2001-10-04;725.32
2001-10-05;724.81
2001-10-08;725.82
2001-10-09;712.52
2001-10-10;736.52
2001-10-11;762.82
2001-10-12;747.44
2001-10-15;743.73
2001-10-16;747.55
2001-10-17;779.63
2001-10-18;758.42
2001-10-19;741.79
2001-10-22;743.27
2001-10-23;766.96
2001-10-24;770.99
2001-10-25;751.98
2001-10-26;777.14
2001-10-29;757.88
2001-10-30;735.34
2001-10-31;741.92
2001-11-01;743.8
2001-11-02;747.53
2001-11-05;771.17
2001-11-06;779.64
2001-11-07;784.42
2001-11-08;802.89
2001-11-09;788.97
2001-11-12;775.47
2001-11-13;806.59
2001-11-14;812.79
2001-11-15;822.73
2001-11-16;835.52
2001-11-19;840.36
2001-11-20;821.32
2001-11-21;820.97
2001-11-22;841.28
2001-11-23;841.05
2001-11-26;848.48
2001-11-27;841.51
2001-11-28;829.9
2001-11-29;826.9
2001-11-30;835.06
2001-12-03;832.06
2001-12-04;848.53
2001-12-05;884.67
2001-12-06;880.55
2001-12-07;871.58
2001-12-10;858.48
2001-12-11;862.2
